from,p_from,to,p_to,expected,obs,o_minus_e,perm_lo,perm_hi,outside_null
Northern Europe,0.24651756694010216,Southern Asia,0.007622659031109735,48.56396068720012,43,-5.563960687200122,-7.563960687200122,14.436039312799878,FALSE
Central America,0.002012072434607646,Northern America,0.2571970283237889,13.374245472837023,8,-5.374245472837023,-8.374245472837023,1.625754527162977,FALSE
Northern Africa,0.003637207862559975,Eastern Europe,0.05540937935304133,5.2084816591858845,0,-5.2084816591858845,-2.2084816591858845,7.7915183408141155,TRUE
Eastern Europe,0.06059433524222257,Western Asia,0.0038306763658876334,5.998839188980034,1,-4.998839188980034,-3.9988391889800337,5.001160811019966,TRUE
South-Eastern Asia,0.001315585822628076,Northern Europe,0.18851570964247022,6.409534127843988,2,-4.409534127843988,-5.409534127843988,2.5904658721560123,FALSE
Northern Europe,0.24651756694010216,Central America,0.001779910230614456,11.3398080792447,7,-4.339808079244699,-5.339808079244699,5.660191920755301,FALSE
Eastern Europe,0.06059433524222257,Australia and New Zealand,0.00398545116854976,6.241216529948924,2,-4.241216529948924,-5.241216529948924,3.7587834700510756,FALSE
Eastern Asia,0.013465407831605014,South America,0.01984986844141774,6.907754217613373,3,-3.9077542176133733,-3.9077542176133733,4.092245782386627,FALSE
Eastern Europe,0.06059433524222257,Caribbean,0.002437703141928494,3.8174431202600214,0,-3.8174431202600214,-2.8174431202600214,4.182556879739979,TRUE
Sub-Saharan Africa,0.002553784243925089,Eastern Europe,0.05540937935304133,3.6570190373007274,0,-3.6570190373007274,-3.6570190373007274,3.3429809626992726,FALSE
Eastern Europe,0.06059433524222257,Sub-Saharan Africa,0.002321622039931899,3.635660114533354,0,-3.635660114533354,-3.635660114533354,-0.635660114533354,FALSE
Northern Africa,0.003637207862559975,Southern Europe,0.05985915492957746,5.626760563380281,2,-3.626760563380281,-4.626760563380281,2.373239436619719,FALSE
Caribbean,0.0023603157405974306,Eastern Europe,0.05540937935304133,3.3799721405355205,0,-3.3799721405355205,-3.3799721405355205,1.6200278594644795,FALSE
Australia and New Zealand,0.006461848011143786,South America,0.01984986844141774,3.3149280297167625,0,-3.3149280297167625,-2.3149280297167625,5.6850719702832375,TRUE
Southern Asia,0.008086983439096114,South America,0.01984986844141774,4.1486225042563065,1,-3.1486225042563065,-2.1486225042563065,5.8513774957436935,TRUE
Southern Europe,0.06546974152607955,Central America,0.001779910230614456,3.0116081101996595,0,-3.0116081101996595,-3.0116081101996595,3.9883918898003405,FALSE
Central America,0.002012072434607646,South America,0.01984986844141774,1.0321931589537225,4,2.9678068410462775,0.9678068410462775,8.967806841046277,FALSE
Southern Europe,0.06546974152607955,Sub-Saharan Africa,0.002321622039931899,3.9281844915647732,1,-2.9281844915647732,-2.9281844915647732,4.071815508435227,FALSE
Northern Europe,0.24651756694010216,South-Eastern Asia,0.001238198421297013,7.888562142083269,5,-2.888562142083269,-4.888562142083269,4.111437857916731,FALSE
South America,0.013658876334932672,Southern Europe,0.05985915492957746,21.130281690140844,24,2.869718309859156,-4.130281690140844,12.869718309859156,FALSE
Eastern Europe,0.06059433524222257,Central America,0.001779910230614456,2.7873394211422378,0,-2.7873394211422378,-2.7873394211422378,1.2126605788577622,FALSE
South America,0.013658876334932672,Southern Asia,0.007622659031109735,2.6907986379817364,0,-2.6907986379817364,-1.6907986379817364,5.309201362018264,TRUE
Eastern Asia,0.013465407831605014,Southern Asia,0.007622659031109735,2.652685342826188,0,-2.652685342826188,-2.652685342826188,4.347314657173812,FALSE
