person_id,name,gender,birth_year,death_year,qid,match_method,multi_match_count
11114,Alfred Gierer,M,1929,NA,Q2645033,wikidata_name_birthyear,1
11115,Gerhard Schramm,M,1910,1969,Q1512493,wikidata_name_birthyear,1
1007,Johannes Martin Bijvoet,M,1892,1980,Q368476,wikidata_name_birthyear,1
1647,Torbjörn Caspersson,M,1910,1997,Q457472,wikidata_name_birthyear,1
11122,Britton Chance,M,1913,2010,Q638558,wikidata_name_birthyear,1
11125,Harry George Drickamer,M,1918,2002,Q6419814,wikidata_name_birthyear,1
11140,Leslie Eleazer Orgel,M,1927,2007,Q280966,wikidata_name_birthyear,1
11141,Pierre Van Rysselberghe,M,1905,1977,NA,unmatched,0
8538,Lars Gunnar Sillén,M,1916,1970,Q6176040,wikidata_name_birthyear,1
13889,Daniel Israel Arnon,M,1910,1994,Q323030,wikidata_name_birthyear,1
11154,Konrad Emil Bloch,M,1912,2000,Q35698,wikidata_name_birthyear,1
11157,Ronald George Wreyford Norrish,M,1897,1978,Q235834,wikidata_name_birthyear,1
1951,Robert Corey,M,1897,1971,Q1093895,wikidata_name_birthyear,1
11161,Efraim Racker,M,1913,1991,Q907279,wikidata_name_birthyear,1
1746,Georges Léon Chaudron,M,1891,1976,Q1508843,wikidata_name_birthyear,1
13016,Carl Djerassi,M,1923,2015,Q78608,wikidata_name_birthyear,1
13074,Ernst Otto Fischer,M,1918,2007,Q44594,wikidata_name_birthyear,1
3851,Louis Plack Hammett,M,1894,1987,Q49349,wikidata_name_birthyear,1
6339,San-Ichiro Mizushima,M,1899,1983,Q11548472,wikidata_name_birthyear,1
13083,Peter Pauson,M,1925,2013,Q17325670,wikidata_name_birthyear,1
10553,Maurice Stacey,M,1907,1994,Q18808904,wikidata_name_birthyear,1
10820,Tadeusz Urbański,M,1901,1984,Q907856,wikidata_name_birthyear,1
10825,Alexander Vinogradov,M,1895,1975,Q907372,wikidata_name_birthyear,1
13087,Karl-Wolfgang Mundry,M,1927,NA,Q105074207,wikidata_name_birthyear,1
11095,Clemens Schöpf,M,1899,1970,Q994547,wikidata_name_birthyear,1
14666,James Baddiley,M,1918,2008,Q1680000,wikidata_name_birthyear,1
13013,Neil Bartlett,M,1932,2008,Q737340,wikidata_name_birthyear,1
13015,Herbert Charles Brown,M,1912,2004,Q102406,wikidata_name_birthyear,1
13017,Alfred Champagnat,M,NA,NA,NA,no_data,0
13027,Ludwig August Wilhelm Geilmann,M,1891,1967,Q26902514,wikidata_name_birthyear,1
13029,Dionyz Ilkovic,M,1907,1980,Q2705170,wikidata_name_birthyear,1
13032,Har Gobind Khorana,M,1922,2011,Q107462,wikidata_name_birthyear,1
13042,Noel Slater,M,1912,1973,Q1270832,wikidata_name_birthyear,1
13045,Saul Winstein,M,1912,1969,Q7427356,wikidata_name_birthyear,1
13057,Gunnar Blix,M,1894,1981,Q1239118,wikidata_name_birthyear,1
13058,Ernst Klenk,M,1896,1971,Q1358985,wikidata_name_birthyear,1
13059,John Monteath Robertson,M,1900,1989,Q22703749,wikidata_name_birthyear,1
13060,Alberte Pullman,F,1920,2011,Q2831706,wikidata_name_birthyear,1
13062,Bernard Pullman,M,1919,1996,Q2898481,wikidata_name_birthyear,1
494,Fritz Arndt,M,1885,1969,Q75208,wikidata_name_birthyear,1
