person_id,lastname,firstname,gender,birth_year,death_year,full_name
6873,Oppenheimer,Robert,M,1904,1967,Robert Oppenheimer
8542,Simon,Francis,M,1893,1956,Francis Simon
8333,Nuclear Scientists,NA,NA,NA,NA,Nuclear Scientists
3732,Gutton,Camille,M,1872,NA,Camille Gutton
6095,Meissner,Walther,M,1882,1974,Walther Meissner
1150,Bonhoeffer,Karl-Friedrich,M,1899,1957,Karl-Friedrich Bonhoeffer
1853,Clusius,Klaus,M,1903,1963,Klaus Clusius
9429,Uhlenbeck,George Eugene,M,1900,1988,George Eugene Uhlenbeck
9230,Thomas,Llewellyn,M,1903,NA,Llewellyn Thomas
9584,Veksler,Vladimir Iosifovich,M,1907,1966,Vladimir Iosifovich Veksler
6062,McMillan,Edwin Mattison,M,1907,1991,Edwin Mattison McMillan
8412,Serber,Robert,M,1909,1997,Robert Serber
8576,Skobelzyn,Dimitrij,M,1892,NA,Dimitrij Skobelzyn
7898,Rossi,Bruno Benedetto,M,1905,1993,Bruno Benedetto Rossi
1081,Bloch,Felix,M,1905,1983,Felix Bloch
9524,van der Pol,Balthasar,M,1889,1959,Balthasar van der Pol
8146,Scheffers,Helmut,M,1898,NA,Helmut Scheffers
8148,Schein,Marcel,M,1902,1960,Marcel Schein
10344,Yeagley,Henry,M,1899,NA,Henry Yeagley
7311,Pohl,Robert Wichard,M,1884,1976,Robert Wichard Pohl
4554,Jansky,Karl,M,1905,NA,Karl Jansky
2690,Edlén,Bengt,M,1906,1993,Bengt Edlén
3667,Grotrian,Walter,M,1890,NA,Walter Grotrian
1481,Bush,Vannevar,M,1890,NA,Vannevar Bush
4577,Jeffreys,Harold,M,1891,1989,Harold Jeffreys
6692,Nier,Alfred,M,1911,NA,Alfred Nier
7361,Portevin,Albert,M,1880,NA,Albert Portevin
7379,Powell,Cecil Frank,M,1903,1969,Cecil Frank Powell
8835,Street,Jabez Curry,M,1906,1989,Jabez Curry Street
8957,Szilard,Leo,M,1898,NA,Leo Szilard
5265,Lattes,César,M,1924,2005,César Lattes
3332,Gardner,Eugène,M,1901,NA,Eugène Gardner
7484,Purcell,Edward,M,1912,1997,Edward Purcell
5024,Kramers,Hendrik,M,1894,1952,Hendrik Kramers
9409,Tuve,Marle,M,1901,NA,Marle Tuve
1318,Breit,Gregory,M,1899,1981,Gregory Breit
3772,Hafstad,Lawrence,M,1904,NA,Lawrence Hafstad
8783,Stevenson,Edward,M,1907,NA,Edward Stevenson
9721,von Békésy,Georg,M,1899,1972,Georg von Békésy
5997,Mattauch,Joseph,M,1895,1976,Joseph Mattauch
4997,Kossel,Walther,M,1888,1956,Walther Kossel
1070,Blau,Marietta,F,1894,1970,Marietta Blau
9970,Wambacher,Hertha,F,1903,NA,Hertha Wambacher
588,Babcock,Horace Welcome,M,1912,2003,Horace Welcome Babcock
7597,Reber,Grote,M,1911,2002,Grote Reber
395,Alvarez,Luis Walter,M,1911,1988,Luis Walter Alvarez
983,Bhabha,Homi,M,1909,1966,Homi Bhabha
4636,Jordan,Ernst Pascual,M,1902,1980,Ernst Pascual Jordan
5176,"Lamb, Jr",Willis Eugene,M,1913,2008,"Willis Eugene Lamb, Jr"
6562,Müller,Erwin Wilhelm,M,1911,1977,Erwin Wilhelm Müller
6971,Panofsky,Wolfgang Kurt Hermann,M,1919,2007,Wolfgang Kurt Hermann Panofsky
8294,Schwinger,Julian,M,1918,1994,Julian Schwinger
9311,Tomonaga,Sin-Itiro,M,1906,1979,Sin-Itiro Tomonaga
9551,Van Vleck,John Hasbrouck,M,1899,1980,John Hasbrouck Van Vleck
7666,Retherford,Robert,M,1912,1981,Robert Retherford
8924,Swann,William Francis,M,1884,1962,William Francis Swann
10464,Barnett,Samuel Jackson,M,1873,1956,Samuel Jackson Barnett
10467,Cherenkov [Čerenkov],Pavel Alekseyevich,M,1904,1990,Pavel Alekseyevich Cherenkov [Čerenkov]
10469,Destriau,Georges,M,1903,1960,Georges Destriau
6467,Mott,Nevill Francis,M,1905,1996,Nevill Francis Mott
10474,Néel,Louis,M,1904,2000,Louis Néel
10476,Onsager,Lars,M,1903,1976,Lars Onsager
10481,Kusch,Polykarp,M,1911,1993,Polykarp Kusch
10484,Bradt,H,M,1917,1950,H Bradt
10485,Peters,Bernard,M,1910,1993,Bernard Peters
10529,Hubble,Edwin,M,1889,1953,Edwin Hubble
5398,Leprince-Ringuet,Louis,M,1901,2000,Louis Leprince-Ringuet
5458,Libby,Willard Frank,M,1908,1980,Willard Frank Libby
10538,Segrè,Emilio Gino,M,1905,1989,Emilio Gino Segrè
10181,Wigner,Eugene,M,1902,1995,Eugene Wigner
10541,Bardeen,John,M,1908,1991,John Bardeen
10542,Brattain,Walter Houser,M,1902,1987,Walter Houser Brattain
10546,Van de Graaff,Robert Jemison,M,1901,1967,Robert Jemison Van de Graaff
10550,von Weizsäcker,Carl Friedrich,M,1912,2007,Carl Friedrich von Weizsäcker
368,Alfvén,Hannes,M,1908,1995,Hannes Alfvén
10475,Laval,Jean,M,1900,1980,Jean Laval
10573,Lemaître,Georges,M,1894,1966,Georges Lemaître
10578,Zworykin,Vladimir,M,1889,1982,Vladimir Zworykin
10580,Deutsch,Martin,M,1917,2002,Martin Deutsch
3511,Goldhaber,Maurice,M,1911,2011,Maurice Goldhaber
10785,Landau,Lev Davidovich,M,1908,1968,Lev Davidovich Landau
5597,London,Fritz,M,1900,1954,Fritz London
10583,Prigogine,Ilya Romanovich,M,1917,2003,Ilya Romanovich Prigogine
10704,Shockley,William,M,1910,1989,William Shockley
10587,Lark-Horowitz,Karl,M,1892,1958,Karl Lark-Horowitz
10588,Baker,James,M,1914,2005,James Baker
16197,Land,Edwin Herbert,M,1909,1991,Edwin Herbert Land
10590,Linfoot,Edward,M,1905,1982,Edward Linfoot
1342,Brillouin,Léon,M,1889,1969,Léon Brillouin
10622,Goeppert-Mayer,Maria,F,1906,1972,Maria Goeppert-Mayer
13176,Rochester,George Dixon,M,1908,2001,George Dixon Rochester
10539,Jensen,Johannes Hans Daniel,M,1907,1973,Johannes Hans Daniel Jensen
10636,von Borries,Bodo,M,1905,1956,Bodo von Borries
7977,Ruska,Ernst August Friedrich,M,1906,1988,Ernst August Friedrich Ruska
10637,Knoll,Max,M,1897,1969,Max Knoll
10639,van de Hulst,Hendrik Christoffel,M,1918,2000,Hendrik Christoffel van de Hulst
10640,Muller,Christiaan Alexander (Lex),M,1923,2004,Christiaan Alexander (Lex) Muller
10641,Oort,Jan Hendrik,M,1900,1992,Jan Hendrik Oort
10675,de Boer,Jan Hendrick,M,1899,1971,Jan Hendrick de Boer
10677,Bose,Satyendra Nath,M,1894,1974,Satyendra Nath Bose
10680,Chapman,Sydney,M,1888,1970,Sydney Chapman
10683,Feynman,Richard Phillips,M,1918,1988,Richard Phillips Feynman
10684,de Forest,Lee,M,1873,1961,Lee de Forest
10685,Crowfoot Hodgkin,Dorothy,F,1910,1994,Dorothy Crowfoot Hodgkin
4727,Kastler,Alfred,M,1902,1984,Alfred Kastler
10687,Oliphant,Mark Laurence,M,1901,2000,Mark Laurence Oliphant
3559,Gorter,Cornelis Jacobus,M,1907,1980,Cornelis Jacobus Gorter
4491,Ising,Gustaf,M,1883,1960,Gustaf Ising
10703,Wideröe,Rolf,M,1902,1996,Rolf Wideröe
10707,Pearson,Gerald,M,1905,1987,Gerald Pearson
10549,Haxel,Otto,M,1909,1998,Otto Haxel
10710,Suess,Hans,M,1909,1993,Hans Suess
10746,Bleaney,Brebis,M,1915,2006,Brebis Bleaney
10748,Chandrasekhar,Subramanyan,M,1910,1995,Subramanyan Chandrasekhar
10754,Rossby,Carl-Gustaf Arvid,M,1898,1957,Carl-Gustaf Arvid Rossby
10768,Wollan,Ernest,M,1902,1984,Ernest Wollan
10769,Shull,Clifford,M,1915,2001,Clifford Shull
11408,Butler,Clifford,M,1922,1999,Clifford Butler
10870,Chamberlain,Owen,M,1920,2006,Owen Chamberlain
13847,Yang,Chen Ning,M,1922,2025,Chen Ning Yang
10775,Lee,Tsung-Dao,M,1926,2024,Tsung-Dao Lee
10781,Tamm,Igor Yevgenyevich,M,1895,1971,Igor Yevgenyevich Tamm
10956,Frank,Ilya,M,1908,1990,Ilya Frank
10783,Vavilov,Sergey,M,1891,1951,Sergey Vavilov
10788,Busch,Hans,M,1884,1973,Hans Busch
10790,Conversi,Marcello,M,1917,1988,Marcello Conversi
10791,Pancini,Ettore,M,1915,1981,Ettore Pancini
10792,Piccioni,Oreste,M,1915,2002,Oreste Piccioni
10793,Naumov,Aleksei,M,1916,1986,Aleksei Naumov
10794,Budker,Gersh,M,1918,1977,Gersh Budker
10795,"Cowan, Jr",Clyde Lorrain,M,1919,1974,"Clyde Lorrain Cowan, Jr"
10796,Reines,Frederick,M,1918,1998,Frederick Reines
10843,Beams,Jesse,M,1898,1977,Jesse Beams
10846,Benzer,Seymour,M,1921,2007,Seymour Benzer
10851,Neuber,Heinz,M,1906,1989,Heinz Neuber
7533,Rajewsky,Boris,M,1893,1974,Boris Rajewsky
10706,Townes,Charles Hard,M,1915,2015,Charles Hard Townes
10067,Weisskopf,Victor Frederick,M,1908,2002,Victor Frederick Weisskopf
10859,Wu,Chien-Shiung,F,1912,1997,Chien-Shiung Wu
10860,Zavoisky,Yevgeny Konstantinovich,M,1907,1976,Yevgeny Konstantinovich Zavoisky
13182,Babcock,Harold Delos,M,1882,1968,Harold Delos Babcock
10862,Bohm,David,M,1917,2002,David Bohm
10863,Pines,David,M,1924,NA,David Pines
10494,Hume-Rothery,William,M,1899,1968,William Hume-Rothery
10871,Wiegand,Clyde,M,1915,1996,Clyde Wiegand
10872,Ypsilantis,Thomas,M,1928,2000,Thomas Ypsilantis
10465,Landé,Alfred,M,1888,1976,Alfred Landé
10876,Salam,Abdus,M,1926,1996,Abdus Salam
10875,Hofstadter,Robert,M,1915,1990,Robert Hofstadter
929,Bernal,John Desmond,M,1901,1971,John Desmond Bernal
10921,Bogoljubov,Nikolai Nikolaevic,M,1909,1992,Nikolai Nikolaevic Bogoljubov
2399,Dessauer,Friedrich,M,1881,1963,Friedrich Dessauer
10925,Glaser,Donald,NA,1926,2013,Donald Glaser
10932,Joffé,Abram,M,1880,1960,Abram Joffé
10570,Kemmer,Nicholas,M,1911,1999,Nicholas Kemmer
10586,Kittel,Charles,M,1916,2019,Charles Kittel
10939,Schottky,Walter Hans,M,1886,1976,Walter Hans Schottky
10530,Unsöld,Albrecht Otto Johannes,M,1905,1995,Albrecht Otto Johannes Unsöld
10831,Wagner,Carl Wilhelm,M,1901,1977,Carl Wilhelm Wagner
10946,Wiener,Norbert,M,1894,1964,Norbert Wiener
10947,Shannon,Claude,M,1916,2001,Claude Shannon
10953,Frank,Frederick Charles,M,1911,1998,Frederick Charles Frank
10954,Bowden,Frank,M,1903,1968,Frank Bowden
10955,Lallemand,André,M,1904,1978,André Lallemand
11024,Van Allen,James,M,1914,2006,James Van Allen
11028,Abragam,Anatole,M,1914,2011,Anatole Abragam
11029,Overhauser,Albert,M,1925,2011,Albert Overhauser
11030,Brossel,Jean,M,1918,2003,Jean Brossel
11042,Pais,Abraham,M,1918,2000,Abraham Pais
11043,Gell-Mann,Murray,M,1929,2019,Murray Gell-Mann
13302,Nishijima,Kazuhiko,M,1926,2009,Kazuhiko Nishijima
7146,Perutz,Max Ferdinand,M,1914,2002,Max Ferdinand Perutz
10997,Kendrew,John Cowdery,M,1917,1997,John Cowdery Kendrew
11052,Basov,Nicolay Gennadijevitj,M,1922,2001,Nicolay Gennadijevitj Basov
11053,Prokhorov [Prockorov],Aleksandr Mikhailovich,M,1916,2002,Aleksandr Mikhailovich Prokhorov [Prockorov]
11055,Bloembergen,Nicolaas,M,1920,2017,Nicolaas Bloembergen
11387,Gray,Louis,M,1905,1965,Louis Gray
4021,Heitler,Walter Heinrich,M,1904,1981,Walter Heinrich Heitler
11391,Mössbauer,Rudolf Ludwig,M,1929,2011,Rudolf Ludwig Mössbauer
11404,Bohr,Aage Niels,M,1922,2009,Aage Niels Bohr
11405,Mottelson,Ben Roy,M,1926,2022,Ben Roy Mottelson
11409,Cooper,Leon Neil,M,1930,2024,Leon Neil Cooper
11410,Schrieffer,John Robert,M,1931,2019,John Robert Schrieffer
11412,Nakano,Tadao,M,1926,NA,Tadao Nakano
11414,Marton,Ladislaus Laszlo,M,1901,1979,Ladislaus Laszlo Marton
11415,Orowan,Egon,M,1902,1989,Egon Orowan
7317,Polanyi,Michael,M,1891,1976,Michael Polanyi
11413,Seitz,Frederick,M,1911,2008,Frederick Seitz
13071,Belov,Nikolay Vasilyevich,M,1891,1982,Nikolay Vasilyevich Belov
10755,Danysz,Marian,M,1909,1983,Marian Danysz
13112,Maglich [Maglić],Bogdan,M,1928,NA,Bogdan Maglich [Maglić]
13119,Rüdenberg,Reinhold,M,1883,1961,Reinhold Rüdenberg
13131,Doll,Robert,M,1923,NA,Robert Doll
13132,Näbauer,M,M,NA,NA,M Näbauer
